Operation,CUDA_Time_ms,Triton_Time_ms,Speedup,Winner
gelu,0.5015061467323297,0.5128634269539422,0.9778551567050376,Triton
swish,0.4990809997372949,0.5122688930206155,0.9742559162521901,Triton
layernorm,0.5440771855786443,0.5221728812096019,1.041948376021178,CUDA
fused_ln_gelu,0.5571816554976006,0.5237935999811937,1.0637427710411231,CUDA
